id,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,title_embedding,average_degree_centrality,imdb_score_binned
2799,Mike Gabriel,92,84,12,752,Frank Welker,23000,141600000,Adventure|Animation|Drama|Family|History|Musical|Romance,Christian Bale,Pocahontas ,119675,26754,Irene Bedard,1,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,216,English,USA,G,1995,2000,0,"[-7.0903864e-04 -3.6175633e-04  1.5181096e-03  9.2981150e-04
  1.1141885e-03  2.1608434e-04  7.4346113e-04 -1.0666378e-03
  2.4738937e-04 -7.2253472e-04 -9.6510164e-05 -6.8237534e-04
  9.6168282e-04  9.2677510e-06  9.6953096e-04  1.6238439e-03
  1.7809444e-04  2.0070812e-03 -9.9291839e-04  3.0238793e-05
 -4.9464938e-06 -1.5925477e-03  1.0169251e-03 -1.8992914e-03
 -5.8848696e-04 -2.3239627e-03  1.4037035e-03  1.3340993e-03
 -3.8181458e-04 -2.0123582e-04 -3.8171370e-04  4.6122744e-04
 -6.6405628e-04  4.6696051e-04 -1.5262334e-03 -8.5836329e-04
  9.3833492e-05 -2.7889354e-04 -2.3448638e-04 -2.3055417e-04
  1.9221553e-03 -1.8130462e-03  5.8034394e-04 -7.1933167e-04
  6.3614704e-04 -7.6271858e-06  2.3967898e-04  1.2417873e-03
  1.0721554e-03 -8.1446778e-05 -9.7176060e-04 -2.6016831e-04
  1.9906079e-03  5.8352732e-04 -8.1346225e-05 -3.3075875e-04
  1.1190849e-03 -3.0901917e-04  1.8571187e-03  4.7090836e-04
  1.3829370e-03  6.0876663e-04  3.1920255e-04  1.1708060e-03
  1.3080394e-03  1.0019965e-03 -3.2967239e-04  1.0612853e-04
  9.0884481e-05  3.5497270e-04 -2.6827012e-05 -1.1745540e-03
 -3.9174073e-04 -6.8565906e-04 -2.6686522e-04 -6.8672083e-04
  6.2920491e-04  4.2903272e-04  2.9353882e-04 -6.9033034e-05
 -4.8120772e-05  6.3013489e-04  2.5935323e-04 -1.3402219e-04
 -1.1387888e-03  7.2137290e-04 -1.2654719e-03  1.9829093e-04
 -3.8228616e-05  3.3917782e-04 -1.1335969e-04  1.6823759e-04
  5.3369894e-04  7.4165297e-04  5.5166405e-05  1.3562554e-03
 -3.6286970e-04  6.9509808e-04  7.3301577e-04  8.6247985e-04]",0.002401321,2
2800,Sidney Lumet,25,107,0,745,Anne Bancroft,941,141853,Comedy|Drama,Kyra Sedgwick,Critical Care ,1427,3099,Albert Brooks,2,half sister|hospital|latex gloves|medicine|nun,12,English,Australia,R,1997,754,88,"[-1.51112548e-03  3.70959664e-04  1.40405493e-03 -1.14650303e-03
  2.52195867e-03 -2.55768490e-03  6.93204405e-04 -4.47834027e-04
 -3.57506506e-05 -4.26775368e-04 -7.13956892e-04 -1.32468913e-03
 -9.92759829e-04  4.21105738e-04 -1.06447283e-03 -1.99809065e-03
 -1.75924285e-03 -1.27897807e-03 -1.49486144e-03 -5.15125052e-04
  1.16740412e-05 -2.42660753e-03 -1.54442014e-03  6.10054529e-04
 -4.62816097e-04 -1.09026500e-03 -5.56425890e-04  5.04839292e-04
 -9.20303457e-04  2.52622180e-04  7.12905603e-04  2.97318038e-05
 -9.71353089e-04 -2.59996438e-03  5.41402260e-04  2.91270157e-03
  3.50194459e-04 -1.49092090e-03 -1.27052166e-03 -1.40586740e-03
  2.00967956e-03  3.91559268e-04 -8.11329926e-04  1.43701688e-03
 -1.06632698e-03 -1.66371372e-03 -9.46354994e-04  5.67750656e-04
  5.62425819e-04  2.64976965e-03  1.71171298e-04 -1.81669462e-03
  1.84535910e-03 -3.43651627e-04 -1.00300123e-03  1.79704773e-04
  6.19971310e-04 -1.36711553e-03  4.14346578e-05  6.92836125e-04
  1.54233421e-03  3.73722462e-04 -9.89416149e-04 -5.66092087e-04
 -6.92022732e-05  1.62870437e-03  2.19009072e-03 -1.12672430e-03
  8.79020139e-04 -2.17507215e-04 -6.15316152e-04  8.89742747e-04
 -6.61764061e-05 -1.58292020e-03 -1.90232322e-03 -6.96379342e-04
 -1.60661992e-03 -8.01707269e-04  1.26714585e-05 -1.03496399e-03
  1.32939126e-03 -4.49420157e-04 -5.62779198e-04 -9.36888508e-04
 -5.50826080e-05 -3.10908887e-03  3.84207349e-04  1.45678234e-04
 -7.96016655e-04 -6.49849710e-04  9.62740276e-04  4.01044701e-04
  3.74446245e-04  3.41208419e-04 -3.84258659e-04  2.13556364e-03
  7.86001678e-04  9.63981263e-04 -3.18395440e-03 -2.97523057e-03]",0.001125619,2
2801,Richard E. Grant,49,97,554,530,Julie Walters,876,233103,Drama,Emily Watson,Wah-Wah ,2670,2544,Miranda Richardson,3,alcoholic|alcoholic father|stepmother|swaziland|unfaithful wife,50,English,UK,R,2005,838,311,"[-1.0596947e-04  2.6707018e-03  8.8432140e-04  2.9651655e-04
  7.5223396e-04 -2.3896704e-05  7.4958493e-04  9.8096777e-04
  7.2715705e-04 -3.0392457e-05  9.0674584e-04  3.2943950e-04
 -2.5461274e-04  1.1505062e-03  9.2678338e-06  1.2809213e-03
 -1.2919699e-03  2.3760668e-04 -7.8088010e-04 -2.1302481e-03
  2.1756310e-03 -2.3079531e-03 -2.7827027e-05  1.6355768e-03
 -6.9900829e-04  1.2467507e-03 -7.5121538e-04 -1.2178069e-04
  1.0516051e-03 -8.9432945e-04 -1.9496492e-03 -9.4527251e-04
  1.5956162e-03 -1.2440433e-03 -2.2375649e-03 -1.6607004e-03
 -3.0849394e-04 -6.1742356e-04 -4.2799811e-04  7.9402101e-04
  5.0872605e-04 -5.7006386e-05  6.0939277e-04 -2.1801642e-03
  1.0345136e-03  8.2041847e-04 -1.3688274e-03 -1.4546140e-04
  1.1820685e-03 -7.2605289e-05  1.7794590e-04 -1.7833259e-03
 -3.7082675e-04  1.9181423e-03 -1.9244710e-03  1.4313671e-03
 -1.9850538e-03 -9.4490848e-04  2.5127223e-04  1.2732258e-03
  1.3304080e-03  5.0832512e-04 -2.2485952e-03  1.4876004e-03
 -1.7284231e-03  1.7674246e-03 -1.7539208e-03  6.2020343e-05
 -1.9101141e-03 -4.1893858e-04 -4.3745301e-04  1.0485657e-03
  6.5951044e-04 -1.7574343e-03  8.9200190e-04 -1.2623485e-03
  1.4487634e-03 -8.4742683e-04 -5.2772582e-05  4.5486903e-04
  6.6020811e-04  7.0696941e-04 -2.2986471e-03  3.9374694e-04
 -8.1912981e-04 -6.7824998e-04 -7.7729946e-04  1.6695436e-05
  2.5392522e-03  4.4794571e-05  7.8652101e-04 -9.0940297e-04
 -6.7718996e-04  6.4964534e-04 -2.7579824e-03  1.1215715e-03
 -8.0351671e-04  1.8119513e-03  2.1397187e-03  2.4636697e-03]",0.001275702,2
2802,Jee-woon Kim,376,107,419,165,James Burnett,971,12026670,Action|Crime|Thriller,Zach Gilford,The Last Stand ,114241,1643,Christiana Leucas,2,deputy|escape|fbi|modern western|sheriff,258,English,USA,R,2013,236,24000,"[-4.7027678e-03  3.3801580e-03  7.7601311e-05  2.9635218e-03
  3.1708321e-03 -3.5909081e-03  4.4807469e-04  1.3658867e-03
  2.4586536e-03 -1.2111003e-03 -2.5480993e-03  6.3530746e-04
 -5.8896776e-04  8.4619474e-04 -1.6234593e-03 -2.8775053e-03
 -7.3380099e-04  1.1604935e-03 -1.6193133e-03 -4.3955711e-03
 -1.3736648e-03 -4.0012500e-03 -2.0683650e-03  3.6794776e-03
 -5.8625992e-03 -3.8821979e-03 -9.1788761e-04  7.4905617e-04
  1.1034090e-03 -2.7361428e-03  1.6732467e-03 -2.1392959e-03
  5.2487901e-03 -8.2822433e-03 -4.9125813e-03  8.3641289e-03
  3.8909991e-04  1.3485737e-03  3.6151446e-03 -2.4399252e-03
  7.9587512e-03 -5.4717041e-03 -2.6705067e-03 -2.7207099e-03
 -3.0398781e-03 -3.4428388e-03 -3.2651506e-03  4.0213140e-03
  1.7311691e-03  5.9249364e-03 -2.0471008e-03 -5.2375365e-03
  8.9798393e-03 -4.7715083e-03 -8.6011883e-04 -2.6446208e-03
  7.3136874e-03 -7.4498169e-03  1.0100493e-03  1.9087581e-03
  2.1949348e-03  6.1983924e-04 -1.8950220e-03 -1.1585531e-03
  1.6566362e-04  3.8791609e-03  4.4485959e-03 -1.9884557e-03
  3.2367830e-03  3.6450513e-03 -4.1419329e-04 -1.6553336e-03
 -2.3615377e-03 -4.4548749e-03  3.8298429e-04  9.6192048e-04
 -1.0236268e-03 -1.1852282e-03 -4.4641504e-03  4.5377482e-04
  2.5789579e-03 -2.4552562e-03 -3.3729875e-03 -1.7355072e-03
 -2.3858268e-03 -8.8694207e-03  1.0249003e-02  3.1692407e-03
  1.7125964e-04 -4.7457337e-04  6.4461776e-03  4.2121611e-03
  1.6309276e-03  2.5177363e-03 -7.4442551e-03  2.7409503e-03
  4.6555726e-03  1.2367205e-03 -4.2637279e-03 -5.0726677e-03]",0.000675371,2
2803,Tony Scott,122,121,12000,975,Gary Oldman,11000,12281500,Action|Crime|Drama|Romance|Thriller,Brad Pitt,True Romance ,163492,23602,Michael Rapaport,3,aspiring actor|cocaine|drugs|pimp|suitcase full of money,460,English,USA,R,1993,10000,15000,"[-5.38480002e-04 -3.34473501e-04  4.87438723e-04  5.17767272e-04
  1.67094520e-04  8.29041819e-05  2.20448419e-04  1.52607425e-03
 -5.02373790e-04 -1.07588724e-03  6.60568243e-04 -6.71886315e-04
  9.51529248e-04  8.34468752e-04 -2.54712126e-04 -9.35936347e-04
  8.03728472e-04 -1.17714470e-03  2.23655510e-03 -1.34197122e-04
  6.85560633e-04 -6.93830138e-04  1.17259435e-04  1.00859383e-03
 -1.13746489e-03  9.14255390e-04 -1.09740871e-03 -7.26809842e-04
  1.39740400e-03 -1.89906592e-03  1.70303450e-04 -8.12066020e-04
  1.47745898e-03 -2.49032187e-03 -2.80782115e-05  1.69157330e-03
  4.97445231e-04 -1.21645816e-03  4.97625806e-05 -1.58164836e-03
  3.88410757e-03 -3.74696078e-03 -9.58188495e-04 -2.01350870e-03
  1.30895595e-03 -5.77088504e-04  1.39782252e-03  1.18964305e-03
 -2.91379611e-03  2.39148643e-03 -1.54010078e-03 -3.78796831e-03
  6.46999455e-04 -8.37258296e-04 -4.78487229e-04 -2.34980835e-03
  4.25549457e-04 -8.52048339e-04  5.29486220e-04 -4.76664398e-04
  2.08916515e-03  1.29460776e-03 -1.18877750e-03 -1.70819520e-04
  2.13802187e-03  8.59942462e-04  7.09615008e-04 -2.29433202e-03
 -4.62023309e-05  4.04100691e-04 -4.44713194e-04  5.00497175e-04
 -1.21037941e-03 -3.85342893e-04 -8.89855146e-04  1.15781138e-03
 -6.67932793e-04  2.81129731e-04 -8.71447730e-04  3.12294957e-04
  1.47779169e-03 -2.51611625e-03 -1.51568674e-03 -4.45940750e-05
 -1.91201863e-03 -9.55843483e-04  8.07031523e-04 -4.98357636e-04
 -3.63830099e-04  1.17959280e-04  2.15040450e-03  1.77511666e-03
  1.18322996e-03  2.34596478e-03 -2.05472554e-03  1.23193592e-03
  1.81166688e-03  1.08247786e-03 -2.11229757e-03 -7.34485337e-04]",0.004502476,3
2804,Sam Raimi,221,88,0,795,Bridget Fonda,901,11501093,Comedy|Fantasy|Horror,Patricia Tallman,Army of Darkness ,128850,3913,Embeth Davidtz,0,army of the dead|battle|necronomicon|reluctant hero|skeleton soldier,604,English,USA,R,1992,888,10000,"[-2.12579663e-03  2.29484192e-03  5.87318558e-04  9.40671947e-04
  2.41372478e-03 -2.58892053e-03 -2.31453436e-04  2.71801720e-03
  2.90810294e-03 -3.53786425e-04  3.35572840e-04 -1.82787015e-03
 -1.04645721e-03  2.78691389e-03  3.04335175e-04 -1.34659291e-04
  7.44290883e-04  2.36551673e-03  1.98990878e-04 -1.03743165e-03
  1.53367175e-03 -4.71993489e-03 -2.61537120e-04  1.89541781e-03
 -3.84657364e-03 -2.81624589e-03 -3.04973242e-03 -1.35803688e-03
  5.63054455e-05  3.90819274e-04  1.50751101e-03 -5.10082231e-04
  1.58089038e-03 -4.04132158e-03  9.61532351e-05  3.67297302e-03
  1.29308517e-03 -7.75930181e-04  2.56402581e-03 -1.27395638e-03
  5.40060876e-03 -3.92435724e-03 -8.29729426e-04 -2.03580619e-03
 -6.76660740e-04 -8.91559699e-04 -1.28737395e-03  1.04699947e-03
 -4.28191153e-04  9.07801266e-04  1.07022782e-03 -4.56315419e-03
  5.33771096e-03 -2.77691032e-03 -7.95300642e-04 -2.54427409e-03
  2.98261759e-03 -4.32462990e-03  1.36296032e-04  1.42875034e-03
 -1.00903366e-04  4.83540171e-05 -6.47732522e-04  7.62365293e-04
 -6.05230278e-04  4.94913151e-03  2.13154010e-03 -1.54057506e-03
  3.99917160e-04  2.49640597e-03  8.21723195e-04 -1.76143507e-03
  1.18195731e-03 -1.13446754e-03 -4.60124953e-04 -4.34431917e-04
 -1.46217970e-03 -2.17082095e-03 -4.08420077e-04 -1.34375796e-03
  1.12194721e-04 -8.20138783e-04 -7.37797294e-04 -3.29736358e-04
 -7.19734875e-04 -4.40987898e-03  4.60753730e-03  7.02896621e-04
 -2.29456680e-04  4.95363318e-04  1.99568109e-03  1.84501160e-03
  2.57006031e-03  3.17971106e-04 -3.90561041e-03  3.14408913e-03
  2.46795593e-03 -1.20620629e-04 -3.78704164e-03 -3.77769489e-03]",0.001425784,3
2805,Tim Story,91,102,167,436,Jason George,656,75074950,Comedy|Drama,Sean Patrick Thomas,Barbershop ,22147,2754,Cedric the Entertainer,0,barber|barbershop|blaxploitation|loan shark|theft,156,English,USA,PG-13,2002,528,770,"[-5.8610353e-04 -3.6402114e-04  4.9161573e-04  5.2669423e-04
 -2.0049579e-04  1.6592615e-03  3.0419594e-04  2.1747663e-03
 -9.7763434e-04 -2.4757019e-04 -1.5373318e-03 -9.3052152e-04
  9.3778326e-06 -1.7186461e-03 -2.5129637e-03 -1.2102237e-03
  1.5811492e-03 -1.8676720e-03  2.1262250e-03 -1.2538574e-03
  3.3250297e-04  1.8566776e-04 -3.1671097e-04 -3.3645311e-04
 -9.2999073e-04 -1.2220764e-03 -4.6186021e-04  9.4530283e-04
  5.8309850e-04  8.7731751e-04  1.3509409e-04 -3.3487822e-04
  2.7499135e-04  1.5039229e-03 -3.5988196e-04  1.3761667e-03
 -3.6603396e-04  5.2264211e-04  9.8722684e-04 -1.4747637e-03
 -8.7992399e-04 -1.5815572e-03 -3.8804766e-04  6.2647619e-04
 -9.3720248e-04 -1.8026692e-05 -1.7482332e-04 -1.8189776e-04
  1.9608889e-04 -2.4490809e-04 -2.5388175e-03 -6.0120079e-04
  8.3823741e-04 -8.4033461e-05 -1.9689586e-03  9.4607611e-05
  3.2833143e-04  2.7568141e-04 -1.5045596e-05  1.6713246e-03
  8.5280527e-04  1.4303705e-03  2.0271620e-05 -2.8734116e-04
  1.5381178e-03  5.3892738e-05  1.7968714e-03 -4.0096318e-04
  6.0856441e-04 -1.3808058e-04  9.1551885e-04 -4.8671305e-04
 -9.4344426e-04  1.3320360e-05 -3.8894318e-04 -3.6983044e-04
 -6.0976029e-04 -1.1750796e-03  1.0685469e-03  4.0173571e-05
  5.4499175e-04  3.6057192e-04 -1.2585853e-03  1.9494865e-04
 -9.1203535e-04  1.4921313e-04  5.2051275e-04  1.0726429e-03
 -6.6454359e-04  3.1841549e-04  4.2836129e-04  7.2136510e-04
 -7.3419847e-05 -5.6734064e-04 -8.0725655e-04 -5.4580189e-04
 -1.2325004e-03  2.1412654e-03 -4.8513641e-04 -1.0353563e-04]",0.00120066,2
2806,John Schlesinger,86,99,154,347,Rupert Everett,774,14983572,Comedy|Drama|Romance,Mark Valley,The Next Best Thing ,9361,2498,Illeana Douglas,1,best friend|cartoon on tv|custody battle|gay|gay friend,162,English,USA,PG-13,2000,692,378,"[-2.31467304e-03  1.93099421e-03 -1.20357996e-04  3.85136297e-03
  2.96113407e-03 -2.83222320e-03 -8.11962062e-04  2.21229112e-03
  2.79890141e-03  1.43429410e-04 -2.21879245e-03  9.82829602e-04
 -1.36975927e-04  2.63545709e-03 -1.84497191e-03 -2.02689879e-03
  5.04904718e-04  9.57781333e-04 -7.46153935e-04 -4.25919890e-03
 -2.22355314e-03 -4.08164738e-03 -1.46791176e-03  3.63950455e-03
 -5.59601840e-03 -2.71041924e-03 -1.25753717e-03 -1.06972537e-03
  3.04412970e-05 -1.71298184e-03  1.71806454e-03 -1.34051323e-03
  5.08985389e-03 -5.40659856e-03 -1.50929682e-03  8.38181470e-03
  1.23099773e-03  2.16460612e-04  2.04425119e-03 -9.88661195e-04
  6.93717506e-03 -4.19615954e-03 -5.50709257e-04 -3.88942612e-03
 -1.89223734e-04 -2.00234936e-03 -1.79065368e-03  3.14884633e-03
  9.92964488e-04  5.78421867e-03 -3.12679843e-03 -4.34141327e-03
  7.50537449e-03 -3.13592819e-03 -2.30749417e-03 -3.08797881e-03
  5.11987740e-03 -5.72202820e-03  6.83788094e-05  4.00780467e-04
  2.42104195e-03  9.67179891e-04 -2.88039865e-03 -3.10815172e-04
 -5.46258932e-04  3.55447899e-03  4.19146940e-03 -1.90557190e-03
  2.11085007e-03  4.18115640e-03 -1.29291241e-03  2.33875704e-04
 -1.46512676e-03 -4.48279176e-03  1.22920761e-03  1.00298996e-04
 -1.05525961e-03 -2.21222639e-03 -3.88719211e-03 -1.20197088e-04
  2.39876425e-03 -1.79563370e-03 -3.98717914e-03  1.44515047e-03
 -2.01207493e-03 -7.08576478e-03  6.82849996e-03  1.69854518e-03
  5.89441101e-04 -6.45054271e-04  3.51895625e-03  3.47327790e-03
  1.93688762e-03  1.98837114e-03 -5.58025111e-03  2.18910770e-03
  3.09795747e-03  2.12472468e-03 -3.29306512e-03 -5.84774278e-03]",0.000750413,1
2807,Spike Lee,103,120,0,388,John Savage,782,27545445,Drama,Ruby Dee,Do the Right Thing ,59524,2892,Danny Aiello,2,black militant|frustration|pizza|pizza parlor|pizzeria,418,English,USA,R,1989,652,0,"[-2.8905359e-03  3.4286052e-03 -9.2428387e-04  1.4474897e-03
  2.8594490e-03 -2.8313324e-03 -6.5846147e-04  2.5536139e-03
  2.2882766e-03 -1.8835348e-03 -1.8372866e-03  4.1101011e-05
  4.0655720e-04  1.5124434e-04 -2.4657124e-03 -2.2556279e-03
  4.7441642e-04  6.1582297e-04 -1.6017272e-03 -2.3285993e-03
 -2.0763443e-03 -2.7334322e-03 -8.7607349e-04  1.2115024e-03
 -5.7141921e-03 -4.5985803e-03 -1.9308121e-03 -1.5494567e-03
 -6.1209913e-04 -9.8641217e-04 -1.4802563e-04 -1.5191173e-03
  4.4184318e-03 -5.2813324e-03 -5.3400826e-04  8.0984160e-03
  1.7855046e-03  4.6003365e-04  2.5958524e-03 -3.5490887e-03
  8.3507011e-03 -4.6690926e-03 -1.3303888e-03 -4.0549850e-03
  2.8526687e-04 -2.8663573e-03 -1.6225307e-03  3.2878541e-03
  1.0106837e-03  4.5072916e-03 -1.6332684e-03 -3.1328069e-03
  5.4805619e-03 -3.4395156e-03 -2.7122386e-03 -2.9401756e-03
  4.5574359e-03 -5.4699453e-03  1.1295958e-03  4.7345483e-04
 -3.9957673e-04  1.9238273e-03 -2.6593818e-03  8.3745236e-04
 -1.4345761e-03  4.1690767e-03  8.6566864e-04 -2.6176884e-03
  2.8757192e-04  9.0195448e-04 -4.1717643e-04 -6.5511500e-04
  6.0628407e-04 -2.5165549e-03  3.5048439e-04  1.0808124e-03
 -1.2745691e-04  4.6172767e-04 -2.5023802e-03  3.4913886e-05
  2.3267842e-03 -2.0951757e-03 -3.2558788e-03 -1.0876271e-03
 -1.8367716e-03 -6.7011123e-03  6.5320805e-03  1.2873955e-03
  6.2837958e-04 -1.3481241e-03  3.3016049e-03  2.9627867e-03
  2.0661515e-03  2.4020167e-04 -5.6052506e-03  7.7385490e-04
  4.5681391e-03 -4.8012327e-04 -4.5565944e-03 -4.7082929e-03]",0.002176197,3
2808,Fernando León de Aranoa,64,113,58,9,Enrique Villén,331,146402,Comedy|Drama,Luis Tosar,Mondays in the Sun ,9913,387,Aida Folch,1,australia|bar|shipyard|siamese twins|tuna,38,Spanish,Spain,R,2002,27,0,"[-4.4365497e-03  3.7561504e-03  2.9982993e-04  7.6382578e-04
  4.1243201e-03 -1.1158760e-03 -9.2306535e-04  2.7919507e-03
  5.6898635e-04  2.0252219e-04 -8.3520409e-04 -1.0519716e-03
  1.5992031e-03  2.6957172e-03 -6.1113801e-04 -2.6772846e-03
 -1.4350045e-04 -7.4304937e-04 -1.8264944e-04 -3.0968015e-03
 -2.9935676e-03 -3.8830712e-03 -9.1970520e-05  1.6243213e-03
 -4.4813021e-03 -2.6063710e-03 -1.2761843e-03 -3.1493814e-04
 -1.7805580e-03 -1.7021277e-03 -1.5202737e-03 -2.4519353e-03
  3.5082903e-03 -6.8165162e-03 -1.2057234e-03  5.6865993e-03
  1.6001672e-03 -7.2401261e-04  1.5733158e-03 -3.1489152e-03
  7.6693227e-03 -5.4153153e-03 -2.5963755e-03 -3.3363758e-03
  4.3589040e-04 -2.0225553e-03 -2.0484391e-03  1.4954763e-03
  8.4767229e-04  1.9963947e-03 -4.8324495e-05 -3.7162760e-03
  8.2102623e-03 -4.7099856e-03 -8.4496033e-04 -1.0897150e-03
  5.5388887e-03 -5.5762567e-03 -4.1614461e-04 -9.2808402e-04
  1.9571893e-03  1.4448020e-04 -2.2015644e-03  1.4964232e-03
  8.3069375e-04  3.5072488e-03  2.7004685e-03 -9.0560806e-04
 -8.8840708e-05  3.0972399e-03 -9.9423341e-04 -1.7979280e-03
 -2.1727895e-03 -2.3754186e-03  6.3402514e-04  2.2841459e-03
 -6.1980973e-04  3.7394086e-04 -1.9317901e-03 -1.7563337e-03
  1.1902477e-03 -1.6118741e-03 -2.3350033e-03 -1.5972895e-03
 -1.2022686e-03 -6.2047867e-03  7.2990158e-03  2.7792507e-03
 -5.9618271e-04 -1.5878099e-03  3.8890918e-03  1.1577557e-03
 -1.8188159e-04  1.5319221e-03 -3.9018940e-03  1.8734987e-03
  4.5925393e-03 -1.8579563e-03 -3.4521273e-03 -5.4336535e-03]",0.000300165,3
2809,Kevin Allen,55,100,8,588,Frankie Muniz,1000,23222861,Action|Adventure|Comedy|Family|Romance|Sci-Fi,Daniel Roebuck,Agent Cody Banks 2: Destination London ,11092,3742,David Kelly,4,chase|evil scientist|gadget|mind control|tough girl,44,English,USA,PG,2004,934,167,"[-4.4295678e-04  1.2919562e-03 -1.3945574e-03  1.0573866e-03
  2.0427536e-04 -9.4538508e-04 -4.4493898e-04 -8.8575493e-05
 -8.5952808e-05  3.4245601e-04  1.2638292e-04 -9.4988052e-04
 -3.4617694e-04  9.9370244e-04 -2.6179149e-04 -8.3399302e-04
 -2.7668438e-04  3.6573419e-04 -3.1352718e-04 -1.5460829e-03
 -1.2582428e-03 -2.2427554e-03 -3.5157439e-04  6.5714651e-04
 -2.4460610e-03 -1.2328080e-04 -1.5504872e-03 -1.1628349e-03
  6.0319476e-04 -1.2677211e-03  2.4647865e-04  3.8741177e-06
  2.1638274e-03 -1.9186413e-03  1.7362169e-04  1.7997916e-03
  2.2138371e-04  1.1394118e-03 -6.3990825e-05 -1.6565573e-03
  1.8590465e-03 -1.3083833e-03  1.1334518e-04 -4.4846503e-04
 -5.5958121e-04 -1.9358989e-03 -1.7117191e-03  9.6447830e-04
  7.8002387e-04  1.3550413e-03  2.8412815e-04 -1.0576871e-03
  2.7978302e-03 -1.5138524e-03  3.1886823e-04 -9.4936014e-04
  1.8716679e-03 -1.9799222e-03  4.8574566e-05 -3.8947037e-04
 -6.7141472e-04 -1.1773543e-03 -3.7875454e-04 -9.1274170e-04
  2.1946619e-03  6.6193443e-04  1.5705574e-03 -9.2221698e-04
  9.4861520e-04  1.6749259e-03  1.7772561e-04  1.8918072e-04
  7.1616843e-04 -4.2625840e-04 -4.2609588e-04  3.0906135e-04
  4.0133440e-04 -9.8472578e-04 -4.3588225e-04 -4.0425229e-04
 -3.3206577e-04 -7.1546616e-04  8.1387023e-04 -3.2898909e-04
  6.1675254e-04 -3.1278252e-03  9.1056171e-04  1.3989223e-03
 -3.1418054e-04 -7.0051110e-04  3.2164183e-04  9.7695272e-04
  1.5807208e-03  6.1131909e-04 -2.7352301e-03  6.1591103e-04
  2.6063228e-03  9.0913942e-05 -2.4661061e-04 -7.7177730e-04]",0.001125619,1
2810,Joan Chen,101,103,643,586,Sam Trammell,24000,37752931,Drama|Romance,J.K. Simmons,Autumn in New York ,20201,26938,Elaine Stritch,2,may december romance|new york|new york city|rockefeller center|title directed by female,180,English,USA,PG-13,2000,1000,0,"[-4.7425414e-03  1.9694336e-03  3.3590634e-04  1.1619349e-03
  1.8463994e-03 -4.8192148e-04 -8.1516954e-04  2.0879989e-03
  1.5391291e-03  1.1819742e-03 -9.3934964e-04 -1.3715110e-03
  9.7878894e-04  2.0382286e-03 -3.1980184e-05 -1.9175176e-03
  8.9931476e-05 -7.9515454e-04  8.1513997e-04 -2.2277201e-03
 -2.2752858e-03 -2.6616924e-03 -8.9318259e-04  1.4293685e-03
 -2.7690188e-03 -1.1737391e-03 -8.5572043e-04 -5.1852531e-04
 -1.7318244e-03 -2.0739620e-04 -1.1130689e-04 -8.3958620e-04
  1.1969595e-03 -2.4925917e-03 -8.5415039e-04  2.9405521e-03
  1.7773631e-03 -7.0748403e-04  5.2192359e-04 -1.4921171e-03
  3.4449056e-03 -4.4269948e-03 -3.6993909e-03 -2.2942647e-03
  3.5965949e-04 -2.8493063e-04 -1.8438236e-03  1.2340939e-03
  9.8942837e-04  1.2623151e-03 -1.5316876e-04 -9.6437900e-04
  5.4864795e-03 -8.0033764e-04 -2.1929014e-03 -1.9932294e-03
  2.9019814e-03 -4.2813239e-03 -3.0574380e-04 -1.0645363e-03
  3.4623109e-03 -1.0443933e-04 -8.4485346e-04  1.1037164e-03
  8.1161485e-04  2.2513650e-03  3.6170182e-03 -1.0513923e-03
  1.3575527e-03  3.5533737e-03 -1.4779466e-03 -2.2703826e-03
 -5.9756479e-05 -2.8806196e-03 -3.4731650e-04  2.7392120e-03
 -4.3456751e-04 -1.5290036e-03 -6.1487663e-04 -7.5048039e-04
  1.8385213e-03 -1.6279903e-03 -1.6813712e-03 -1.4414663e-03
 -1.1194583e-03 -2.8577331e-03  3.9120447e-03  2.1679518e-03
 -3.3184179e-04 -2.3870477e-03  3.5953074e-04  1.5552856e-03
 -1.6613024e-04  1.1781754e-03 -2.0780761e-03  1.1242853e-03
  1.8987220e-03 -7.0385460e-05 -3.2700736e-03 -3.9849058e-03]",0.002326279,2
